authors	journal	year	publisher	title	query
Y Shan, L Liu, Y Liu, H Harms… 	Environmental science & …	 2020 	ACS Publications	Effects of electrokinetic phenomena on bacterial deposition monitored by quartz crystal microbalance with dissipation monitoring	AE015451
Y Morimoto, M Tohya, Z Aibibula… 	… of Systematic and …	 2020 	microbiologyresearch.org	Re-identification of strains deposited as Pseudomonas aeruginosa, Pseudomonas fluorescens and Pseudomonas putida in GenBank based on whole genome …	AE015451
P Liu, J Xie, H Tan, F Zhou, L Zou, J Ouyang 	Microbial Cell Factories	 2020 	Springer	Valorization of Gelidium amansii for dual production of D-galactonic acid and 5-hydroxymethyl-2-furancarboxylic acid by chemo-biological approach	AE015451
WJ Li, T Narancic, ST Kenny, PJ Niehoff… 	Frontiers in …	 2020 	frontiersin.org	Unraveling 1,4-Butanediol Metabolism in Pseudomonas putida KT2440	AE015451
L González-Montes, I Del Campo… 	PLoS …	 2020 	journals.plos.org	ArdC, a ssDNA-binding protein with a metalloprotease domain, overpasses the recipient hsdRMS restriction system broadening conjugation host range	AE015451
SB Costa-Gutierrez, EE Raimondo, MJ Lami… 	Rhizosphere	 2020 	Elsevier	Inoculation of Pseudomonas mutant strains can improve growth of soybean and corn plants in soils under salt stress	AE015451
J Hirose, R Tsukimata, M Miyatake, H Yokoi 	Genes	 2020 	mdpi.com	Identification of the Gene Responsible for Lignin-Derived Low-Molecular-Weight Compound Catabolism in Pseudomonas sp. Strain LLC-1	AE015451
A Bollinger, S Thies, N Katzke… 	Microbial …	 2020 	Wiley Online Library	The biotechnological potential of marine bacteria in the novel lineage of Pseudomonas pertucinogena	AE015451
J García-Hidalgo, DP Brink, K Ravi… 	Applied and …	 2020 	Am Soc Microbiol	Vanillin Production in Pseudomonas: Whole-Genome Sequencing of Pseudomonas sp. Strain 9.1 and Reannotation of Pseudomonas putida CalA as a Vanillin …	AE015451
A Flores-Sánchez, A Rathinasabapathy… 	International Journal of …	 2020 	Elsevier	Biosynthesis of polyhydroxyalkanoates from vegetable oil under the co-expression of fadE and phaJ genes in Cupriavidus necator	NC_002947
ET Mohamed, AZ Werner, D Salvachúa… 	Metabolic engineering …	 2020 	Elsevier	Adaptive laboratory evolution of Pseudomonas putida KT2440 improves p-coumaric and ferulic acid catabolism and tolerance	NC_002947
S Sharma, S Compant, MB Ballhausen, S Ruppel… 	Microbiological …	 2020 	Elsevier	The interaction between Rhizoglomus irregulare and hyphae attached phosphate solubilizing bacteria increases plant biomass of Solanum lycopersicum	NC_002947
T Nakamura, C Suzuki-Minakuchi, H Kawano… 	Frontiers in …	 2020 	frontiersin.org	H-NS family proteins drastically change their targets in response to the horizontal transfer of the catabolic plasmid pCAR1	NC_002947
NN Trieu, NT Quynh, ND Hoang, NM Dat, TD Long… 	Bacillus …	 2020 	academia.edu	Expression and characterization of recombinant trehalose synthase in	NC_002947
O Benson 	F1000Research	 2020 	f1000research.com	Genome-wide analyses reveal antibiotic resistance genes and mechanisms in pathogenic Pseudomonas bacteria	NC_002947
HG Lim, B Fong, G Alarcon, HD Magurudeniya… 	Green …	 2020 	pubs.rsc.org	Generation of ionic liquid tolerant Pseudomonas putida KT2440 strains via adaptive laboratory evolution	NC_002947
V Pobre, G Graça-Lopes, M Saramago… 	…	 2020 	microbiologyresearch.org	Prediction of novel non-coding RNAs relevant for the growth of Pseudomonas putida in a bioreactor	NC_002947
SK Kim, PK Yoon, SJ Kim, SG Woo, E Rha… 	Microbial …	 2020 	Wiley Online Library	CRISPR interference‐mediated gene regulation in Pseudomonas putida KT2440	NC_002947
H Puja, G Comment, S Chassagne… 	Environmental …	 2020 	Wiley Online Library	Coordinate overexpression of two RND efflux systems, ParXY and TtgABC, is responsible for multidrug resistance in Pseudomonas putida	NC_002947
S Rosendahl, H Tamman, A Brauer, M Remm… 	Scientific reports	 2020 	nature.com	Chromosomal toxin-antitoxin systems in Pseudomonas putida are rather selfish than beneficial	NC_002947
N Carraro, V Sentchilo, L Polák, C Bertelli… 	Genes	 2020 	mdpi.com	Insights into Mobile Genetic Elements of the Biocide-Degrading Bacterium Pseudomonas nitroreducens HBP-1	NC_002947
N Mihalikova, J Harichova, M Zamocky… 	General Physiology …	 2020 	researchgate.net	A new type strain of Pseudomonas putida NM-CH-I15-I isolated from a nickel-contaminated soil in southwest Slovakia harbouring the czcA-NM15I resistance …	NC_002947
A Ankenbauer, RA Schäfer, SC Viegas… 	Microbial …	 2020 	Wiley Online Library	Pseudomonas putida KT2440 is naturally endowed to withstand industrial‐scale stress conditions	NC_002947
I Hernández, C Sant, R Martínez… 	Frontiers in …	 2020 	frontiersin.org	Design of bacterial strain-specific qPCR assays using NGS data and publicly available resources and its application to track biocontrol strains	NC_002947
B Zada, S Joo, C Wang, T Tseten, SH Jeong, H Seo… 	Green …	 2020 	pubs.rsc.org	Metabolic engineering of Escherichia coli for production of non-natural acetins from glycerol	NC_002947
G Zhang, S Hu, X Jia 	Frontiers in Bioengineering and Biotechnology	 2021 	frontiersin.org	Highly sensitive whole-cell biosensor for cadmium detection based on a negative feedback circuit	AE015451
Y Xiao, P Wang, X Zhu, Z Xie 	International Journal of Molecular …	 2021 	mdpi.com	Pseudomonas donghuensis HYS gtrA/B/II Gene Cluster Contributes to Its Pathogenicity toward Caenorhabditis elegans	AE015451
YS Ackermann, WJ Li, LO de Hipt, PJ Niehoff… 	Metabolic …	 2021 	Elsevier	Engineering adipic acid metabolism in Pseudomonas putida	AE015451
ME Luke, LO Odokuma… 	GSC Biological and …	 2021 	gsconlinepress.com	Microbial dynamics and physico-chemical properties of artisanal refinery polluted environment in Niger Delta	AE015451
YY Fan, Q Tang, Y Li, FH Li, JH Wu… 	Environmental …	 2021 	Wiley Online Library	Rapid and highly efficient genomic engineering with a novel iEditing device for programming versatile extracellular electron transfer of electroactive bacteria	AE015451
PLH Vo, C Ronda, SE Klompe, EE Chen, C Acree… 	Nature …	 2021 	nature.com	CRISPR RNA-guided integrases for high-efficiency, multiplexed bacterial genome engineering	AE015451
S Tabacchioni, S Passato, P Ambrosino, L Huang… 	Microorganisms	 2021 	mdpi.com	Identification of beneficial microbial consortia and bioactive compounds with potential as plant biostimulants for a sustainable agriculture	AE015451
L Ruiz-Roldán, M de Toro, Y Sáenz 	Genes	 2021 	mdpi.com	Whole Genome Analysis of Environmental Pseudomonas mendocina Strains: Virulence Mechanisms and Phylogeny	NC_002947
Y Wang, J Lu, S Zhang, J Li, L Mao, Z Yuan… 	The ISME …	 2021 	academic.oup.com	Non-antibiotic pharmaceuticals promote the transmission of multidrug resistance plasmids through intra-and intergenera conjugation	NC_002947
MII García-Ulloa, AE Escalante… 	Frontiers in …	 2021 	frontiersin.org	Evolutionary Rescue of an Environmental Pseudomonas otitidis in Response to Anthropogenic Perturbation	NC_002947
Y Xiao, H Chen, L Nie, M He, Q Peng, W Zhu, H Nie… 	Msystems	 2021 	Am Soc Microbiol	Identification of c-di-GMP/FleQ-Regulated New Target Genes, Including cyaA, Encoding Adenylate Cyclase, in Pseudomonas putida	NC_002947
E Asin-Garcia, M Martin-Pascual… 	ACS synthetic …	 2021 	ACS Publications	ReScribe: An Unrestrained Tool Combining Multiplex Recombineering and Minimal-PAM ScCas9 for Genome Recoding Pseudomonas putida	NC_002947
C Ma, Y Shi, Q Mu, R Li, Y Xue, B Yu 	Microbial Biotechnology	 2021 	Wiley Online Library	Unravelling the thioesterases responsible for propionate formation in engineered Pseudomonas putida KT2440	NC_002947
Z Nain, MM Karim 	Gene Reports	 2021 	Elsevier	Whole-genome sequence, functional annotation, and comparative genomics of the high biofilm-producing multidrug-resistant Pseudomonas aeruginosa MZ4A …	NC_002947
A Rodríguez-Verdugo, M Ackermann 	The ISME journal	 2021 	academic.oup.com	Rapid evolution destabilizes species interactions in a fluctuating environment	NC_002947
JR Elmore, GN Dexter, D Salvachúa… 	Nature …	 2021 	nature.com	Production of itaconic acid from alkali pretreated lignin by dynamic two stage bioconversion	NC_002947
Ó Huertas-Rosales, M Romero, KG Chan… 	Frontiers in Molecular …	 2021 	frontiersin.org	Genome-Wide Analysis of Targets for Post-Transcriptional Regulation by Rsm Proteins in Pseudomonas putida	NC_002947
L Fernández-Cabezón, A Cros, PI Nikel 	ACS Synthetic Biology	 2021 	ACS Publications	Spatiotemporal Manipulation of the Mismatch Repair System of Pseudomonas putida Accelerates Phenotype Emergence	NC_002947
Ó Huertas-Rosales, M Romero, KG Chan… 	… to Intercellular Talks …	 2021 	books.google.com	Genome-Wide Analysis of Targets for Post-Transcriptional Regulation by	NC_002947
M Zhao, X Hong, R Yao, Y Xiao 	Green Chemistry	 2021 	pubs.rsc.org	Rapid biosynthesis of phenolic glycosides and their derivatives from biomass-derived hydroxycinnamates	NC_002947
A Arsov, K Petrov, P Petrova 	Biotechnology Advances	 2021 	Elsevier	How to outwit nature: Omics insight into butanol tolerance	NC_002947
S Tabacchioni, S Passato, P Ambrosino, L Huang… 	Microorganisms	 2021 	mdpi.com	Identification of beneficial microbial consortia and bioactive compounds with potential as plant biostimulants for a sustainable agriculture	NC_002947
SB Costa-Gutierrez, C Adler, M Espinosa-Urgel… 	Applied Microbiology …	 2022 	Springer	Pseudomonas putida and its close relatives: mixing and mastering the perfect tune for plants	AE015451
CSY Yeap, NHA Nguyen, R Spanek, CC Too… 	Journal of Hazardous …	 2022 	Elsevier	Dissolved iron released from nanoscale zero-valent iron (nZVI) activates the defense system in bacterium Pseudomonas putida, leading to high tolerance to oxidative …	AE015451
F Zhang, X Sun, X Shen, Y Yan… 	Biotechnology and …	 2022 	Wiley Online Library	Biosynthesis of allantoin in Escherichia coli via screening a highly effective urate oxidase	AE015451
N Sharaev, L Chacon-Machado, O Musharova… 	Molecular Biology	 2022 	Springer	Repair of Double-Stranded DNA Breaks Generated by CRISPR–Cas9 in Pseudomonas putida KT2440	AE015451
F Dong, AC Quevedo, X Wang… 	Environmental …	 2022 	Wiley Online Library	Experimental evolution of Pseudomonas putida under silver ion versus nanoparticle stress	AE015451
H Liu, Y Chen, Y Zhang, W Zhao, H Guo… 	International Journal of …	 2022 	Elsevier	Enhanced production of polyhydroxyalkanoates in Pseudomonas putida KT2440 by a combination of genome streamlining and promoter engineering	AE015451
SA Mullaeva, YA Delegan, RA Streletskii… 	Scientific Reports	 2022 	nature.com	Pseudomonas veronii strain 7–41 degrading medium-chain n-alkanes and polycyclic aromatic hydrocarbons	AE015451
G Purtschert-Montenegro, G Cárcamo-Oyarce… 	Nature …	 2022 	nature.com	Pseudomonas putida mediates bacterial killing, biofilm invasion and biocontrol with a type IVB secretion system	AE015451
HG Lim, K Rychel, AV Sastry, GJ Bentley, J Mueller… 	Metabolic …	 2022 	Elsevier	Machine-learning from Pseudomonas putida KT2440 transcriptomes reveals its transcriptional regulatory network	AE015451
DC Brown, RJ Turner 	Microbiology Research	 2022 	mdpi.com	Assessing microbial monitoring methods for challenging environmental strains and cultures	AE015451
S Namonyo, G Carvalho, J Guo, KD Weynberg 	Microorganisms	 2022 	mdpi.com	Novel Bacteriophages Show Activity against Selected Australian Clinical Strains of Pseudomonas aeruginosa	AE015451
刘冬晖， 李凤巧， 靳志丽， 李孝刚 	土壤	 2022 	soils.issas.ac.cn	烟草根表可培养细菌群落组成及典型菌群的促生特性研究	AE015451
J Mueller, H Willett, AM Feist… 	Biotechnology and …	 2022 	Wiley Online Library	Engineering Pseudomonas putida for improved utilization of syringyl aromatics	NC_002947
G Tamasco, M Kumar, K Zengler, R Silva-Rocha… 	BMC …	 2022 	Springer	ChiMera: an easy to use pipeline for bacterial genome based metabolic network reconstruction, evaluation and visualization	NC_002947
CD Armada, RMC Simora 	Philippine Journal of Science	 2022 	philjournalsci.dost.gov.ph	Optimization and Functional Properties of a Protease from a Fish Gut Isolate Pseudomonas sp. PD14 Grown on Fish Processing Wastes Substrate.	NC_002947
BA Shah, ST Kasarlawar, PS Phale 	Microbiology Spectrum	 2022 	Am Soc Microbiol	Glucose-6-Phosphate Dehydrogenase, ZwfA, a Dual Cofactor-Specific Isozyme Is Predominantly Involved in the Glucose Metabolism of Pseudomonas bharatica …	NC_002947
L Zou, X Jin, Y Tao, Z Zheng, J Ouyang 	Frontiers in Microbiology	 2022 	frontiersin.org	Unraveling the mechanism of furfural tolerance in engineered Pseudomonas putida by genomics	NC_002947
Y Xiao, Q Liang, M He, N Wu, L Nie… 	Applied and …	 2022 	Am Soc Microbiol	Second Messenger c-di-GMP Modulates Exopolysaccharide Pea-Dependent Phenotypes via Regulation of eppA Expression in Pseudomonas putida	NC_002947
P Calero, N Gurdo, PI Nikel 	Environmental Microbiology	 2022 	Wiley Online Library	Role of the CrcB transporter of Pseudomonas putida in the multi‐level stress response elicited by mineral fluoride	NC_002947
Y Shi, R Li, J Zheng, Y Xue, Y Tao… 	Journal of Agricultural and …	 2022 	ACS Publications	High-Yield Production of Propionate from 1,2-Propanediol by Engineered Pseudomonas putida KT2440, a Robust Strain with Highly Oxidative Capacity	NC_002947
DC Volke, RA Martino, E Kozaeva, AM Smania… 	Nature …	 2022 	nature.com	Modular (de) construction of complex bacterial phenotypes by CRISPR/nCas9-assisted, multiplex cytidine base-editing	NC_002947
J Singh, A Mehta 	Heliyon	 2022 	cell.com	The main Aflatoxin B1 degrading enzyme in Pseudomonas putida is thermostable lipase	NC_002947
I Vasquez, A Hossain, H Gnanagobal, K Valderrama… 	Microorganisms	 2022 	mdpi.com	Comparative Genomics of Typical and Atypical Aeromonas salmonicida Complete Genomes Revealed New Insights into Pathogenesis Evolution	NC_002947
SM Shin, RK Jha, T Dale 	ACS Synthetic Biology	 2022 	ACS Publications	Tackling the Catch-22 situation of optimizing a sensor and a transporter system in a whole-cell microbial biosensor design for an anthropogenic small molecule	NC_002947
P Córdova, JP Rivera-González, V Rojas-Martínez… 	Horticulturae	 2022 	mdpi.com	Antimicrobial Multiresistant Phenotypes of Genetically Diverse Pseudomonas spp. Isolates Associated with Tomato Plants in Chilean Orchards	NC_002947
S Sulser, A Vucicevic, V Bellini, R Moritz… 	PLoS …	 2022 	journals.plos.org	A bistable prokaryotic differentiation system underlying development of conjugative transfer competence	NC_002947
A Leal‐Morales, M Pulido‐Sánchez… 	Environmental …	 2022 	Wiley Online Library	Transcriptional organization and regulation of the Pseudomonas putida flagellar system	NC_002947
TT Tran, NJ Bott, R Gelderen, NT Nguyen, PMT Chu… 	Fermentation	 2022 	mdpi.com	Comparative Genome Analysis of Two Heterotrophic Nitrifying Pseudomonas putida Strains Isolated from Freshwater Shrimp Ponds in Soc Trang Province	NC_002947
RW Ammeri, S Kloula, GDR Simeone… 	Water Quality …	 2023 	iwaponline.com	Pesticide removal by the bioaugmentation process in secondary treated wastewater	AE015451
X Qian, K Xin, L Zhang, J Zhou, A Xu… 	Microbiology …	 2023 	Am Soc Microbiol	Integration of ARTP mutation and adaptive laboratory evolution to reveal 1, 4-butanediol degradation in Pseudomonas putida KT2440	AE015451
WY Jin, JX Guo, M Zhang, LZ Teng, Y Chao… 	The Innovation …	 2023 	researchgate.net	Absolute quantification of the microbiota spatial distribution in the murine large intestine	AE015451
L Li, R Zhang, Y Xu, W Zhang 	Frontiers in Bioengineering and …	 2023 	frontiersin.org	Comprehensive screening strategy coupled with structure-guided engineering of l-threonine aldolase from Pseudomonas putida for enhanced catalytic efficiency …	AE015451
SB Costa‐Gutierrez, EE Raimondo… 	Journal of Basic …	 2023 	Wiley Online Library	Importance of biofilm formation for promoting plant growth under salt stress in Pseudomonas putida KT2440	AE015451
L Li, R Zhang, W Zhang, Y Xu 	Systems Microbiology and …	 2023 	Springer	Improvement of the activity and thermostability of l-threonine aldolase from Pseudomonas putida via tailoring of the active sites lining the binding pocket	AE015451
LS von Borzyskowski, H Schulz-Mirbach… 	Metabolic …	 2023 	Elsevier	Implementation of the β-hydroxyaspartate cycle increases growth performance of Pseudomonas putida on the PET monomer ethylene glycol	AE015451
P Gómez-Coronado, N Paczia… 	Metabolic …	 2023 	scholarlypublications …	Implementation of the β-h drox aspartate c cle increases gro th performance of Pseudomonas putida on the PET monomer eth lene gl col	AE015451
T Morohoshi, N Yaguchi, N Someya 	Microbes and environments	 2023 	jstage.jst.go.jp	Genomic Reclassification and Phenotypic Characterization of Pseudomonas putida Strains Deposited in Japanese Culture Collections	AE015451
Y Yu, F Han, M Yang, X Zhang, Y Chen, M Yu… 	International Journal of …	 2023 	Elsevier	Pseudomonas composti isolate from oyster digestive tissue specifically binds with norovirus GII. 6 via Psl extracellular polysaccharide	AE015451
HF Najm, S Saadallah 	Journal of Wildlife and Biodiversity	 2023 	wildlife-biodiversity.com	Bacteriocin extraction from bacterial samples and study the effect on the other types of pathogenic bacteria	AE015451
H Zhang, J Song, Z Zheng, T Li, N Shi, Y Han, L Zhang… 	Water Research	 2023 	Elsevier	Fungicide exposure accelerated horizontal transfer of antibiotic resistance genes via plasmid-mediated conjugation	NC_002947
Q Jia, H Zhang, A Zhao, L Qu, W Xiong… 	… in Bioengineering and …	 2023 	frontiersin.org	Produce D-allulose from non-food biomass by integrating corn stalk hydrolysis with whole-cell catalysis	NC_002947
S Takahashi, F Taguchi, K Hori 	Frontiers in Environmental Science	 2023 	frontiersin.org	Contribution of the Fenton reaction to the degradation of carbon nanotubes by enzymes	NC_002947
J Song, H Zhang, Z Wu, M Qiu, X Zhan, C Zheng… 	Journal of Hazardous …	 2023 	Elsevier	A novel bidirectional regulation mechanism of mancozeb on the dissemination of antibiotic resistance	NC_002947
E Asin-Garcia, L Garcia-Morales… 	Nucleic acids …	 2023 	academic.oup.com	Metagenomics harvested genus-specific single-stranded DNA-annealing proteins improve and expand recombineering in Pseudomonas species	NC_002947
C Terrettaz, B Cabete, J Geiser… 	Environmental …	 2023 	Wiley Online Library	KaiC‐like proteins contribute to stress resistance and biofilm formation in environmental Pseudomonas species	NC_002947
AJ Borchert, AN Wilson, WE Michener, J Roback… 	Green …	 2023 	pubs.rsc.org	Biological conversion of cyclic ketones from catalytic fast pyrolysis with Pseudomonas putida KT2440	NC_002947
S Klaes, S Madan, D Deobald, M Cooper… 	International Journal of …	 2023 	mdpi.com	GroEL-Proteotyping of bacterial communities using tandem mass spectrometry	NC_002947
R Avendaño, S Muñoz‐Montero… 	Microbial …	 2023 	Wiley Online Library	Production of selenium nanoparticles occurs through an interconnected pathway of sulphur metabolism and oxidative stress response in Pseudomonas putida …	NC_002947
J Han, M Zhang, Y Wang, Z Liu, X Shi, Y He… 	Applied Biochemistry …	 2024 	Springer	Cold Plasma Treatment Facilitated the Conversion of Lignin-Derived Aldehyde for Pseudomonas putida	AE015451
R Jamontas, A Laurynėnas, D Povilaitytė… 	Nucleic Acids …	 2024 	academic.oup.com	RudS: bacterial desulfidase responsible for tRNA 4-thiouridine de-modification	AE015451
C Suzuki-Minakuchi, N Yamamoto… 	Applied and …	 2024 	Am Soc Microbiol	Transcriptional heterogeneity of catabolic genes on the plasmid pCAR1 causes host-specific carbazole degradation	AE015451
MA Molina-Henares, MI Ramos-González… 	…	 2024 	microbiologyresearch.org	Gene expression reprogramming of Pseudomonas alloputida in response to arginine through the transcriptional regulator ArgR	AE015451
YS Ackermann, J de Witt, MP Mezzina, C Schroth… 	Microbial Cell …	 2024 	Springer	Bio-upcycling of even and uneven medium-chain-length diols and dicarboxylates to polyhydroxyalkanoates using engineered Pseudomonas putida	AE015451
L Ampntelnour, EG Poulaki, V Dimitrakas… 	Journal of Applied …	 2024 	academic.oup.com	Enhancing Botrytis disease management in tomato plants: insights from a Pseudomonas putida strain with biocontrol activity	AE015451
Z Udaondo, JL Ramos, K Abram 	FEMS Microbiology Reviews	 2024 	academic.oup.com	Unraveling the genomic diversity of the Pseudomonas putida group: exploring taxonomy, core pangenome, and antibiotic resistance mechanisms	AE015451
PH Santos-Oliveira, NFG Machado, RD de Oliveira… 	Bioresource …	 2024 	Elsevier	Oxidation of propionate in Pseudomonas sp. LFM046: Relevance to the synthesis of polyhydroxyalkanoates containing odd-chain length monomers and 2 …	AE015451
SG Zavala-Meneses, A Firrincieli, P Chalova, P Pajer… 	Microorganisms	 2024 	mdpi.com	Proteogenomic Characterization of Pseudomonas veronii SM-20 Growing on Phenanthrene as Only Carbon and Energy Source	AE015451
NL Bitzenhofer, C Höfel, S Thies… 	Microbial …	 2024 	Wiley Online Library	Exploring engineered vesiculation by Pseudomonas putida KT2440 for natural product biosynthesis	AE015451
R Tiwari, C Sathesh-Prabu, Y Kim, SK Lee 	Bioresource Technology	 2024 	Elsevier	Simultaneous utilization of glucose and xylose by metabolically engineered Pseudomonas putida for the production of 3-hydroxypropionic acid	NC_002947
FF Veras, P Stincone, JE Welke, AC Ritter… 	Brazilian Journal of …	 2024 	Springer	Genome analysis of Pseudomonas strain 4B with broad antagonistic activity against toxigenic fungi	NC_002947
L Nie, Y Xiao, T Zhou, H Feng, M He… 	Nucleic Acids …	 2024 	academic.oup.com	Cyclic di-GMP inhibits nitrate assimilation by impairing the antitermination function of NasT in Pseudomonas putida	NC_002947
Z Al-Tameemi, A Rodríguez-Verdugo 	msystems	 2024 	journals.asm.org	Microbial diversification is maintained in an experimentally evolved synthetic community	NC_002947
I Jones, D Vermillion, C Tracy, R Denton… 	Applied and …	 2024 	journals.asm.org	Isolation, characterization, and genetic manipulation of cold-tolerant, manganese-oxidizing Pseudomonas sp. strains	NC_002947
Y Zhou, X Zhang, W Yu, Y Fu, L Ni, J Yu, X Wang… 	International Journal of …	 2024 	Elsevier	Enhancing Pseudomonas cell growth for the production of medium-chain-length polyhydroxyalkanoates from Antarctic krill shell waste	NC_002947
J Ruan, J Wang, C Yang, W Liu, F He… 	… and Environmental Safety	 2024 	Elsevier	Biodegradation enhancement of high concentrations formaldehyde waste gas and verification of the metabolic mechanism	NC_002947
W Chen, R Ma, Y Feng, Y Xiao… 	Microbial …	 2024 	Wiley Online Library	GnuR Represses the Expression of Glucose and Gluconate Catabolism in Pseudomonas putida KT2440	NC_002947
S Köbbing, T Lechtenberg, B Wynands… 	ACS Synthetic …	 2024 	ACS Publications	Reliable Genomic Integration Sites in Pseudomonas putida Identified by Two-Dimensional Transcriptome Analysis	NC_002947
H Meng, S Köbbing, LM Blank 	Microbial Biotechnology	 2024 	Wiley Online Library	Establishing a straightforward I‐SceI‐mediated recombination one‐plasmid system for efficient genome editing in P. putida KT2440	NC_002947
P Urbanowicz, R Izdebski, M Biedrzycka… 	Journal of …	 2024 	academic.oup.com	VIM-type metallo-β-lactamase (MBL)-encoding genomic islands in Pseudomonas spp. in Poland: predominance of clc-like integrative and conjugative elements …	NC_002947
S Han, D Kim, Y Kim, SH Yoon 	BMC genomics	 2024 	Springer	Genome-scale metabolic network model and phenome of solvent-tolerant Pseudomonas putida S12	NC_002947
M Zhao, X Wu, Y Tao, Y Xiao 	Green Chemistry	 2024 	pubs.rsc.org	Full use of lignocellulosic biomass for efficient synthesis of l-tyrosine and its analogues by engineering microbial consortia	NC_002947
A Yoshida, I Kurnia, Y Higuchi, Y Osaka… 	Journal of Bioscience …	 2024 	Elsevier	Direct catalytic oxidation of rice husk lignin with hydroxide nanorod-modified copper foam and muconate production by engineered Pseudomonas sp. NGC7	NC_002947
R Moreno, L Yuste, G Morales… 	Microbial biotechnology	 2024 	Wiley Online Library	Inactivation of Pseudomonas putida KT2440 pyruvate dehydrogenase relieves catabolite repression and improves the usefulness of this strain for degrading aromatic …	NC_002947
JM Hernández-Sancho, A Boudigou… 	Nature …	 2024 	nature.com	A versatile microbial platform as a tunable whole-cell chemical sensor	NC_002947
